SpeciesID,Class,Order,Family,Genus,Species,Scientific names,WMostLong,EMostLong
Fis-29581,Actinopteri,Perciformes,Acanthuridae,Acanthurus,monroviae,Acanthurus monroviae,NA,NA
Fis-26602,Actinopteri,Pleuronectiformes,Achiridae,Trinectes,paulistanus,Trinectes paulistanus,-55,-30
Fis-27804,Actinopteri,Pleuronectiformes,Achiridae,Achirus,mazatlanus,Achirus mazatlanus,-120,-70
Fis-28886,Actinopteri,Pleuronectiformes,Achiridae,Trinectes,fimbriatus,Trinectes fimbriatus,NA,NA
Fis-28885,Actinopteri,Pleuronectiformes,Achiridae,Achirus,scutum,Achirus scutum,NA,NA
Fis-28883,Actinopteri,Pleuronectiformes,Achiridae,Achirus,klunzingeri,Achirus klunzingeri,NA,NA
Fis-28888,Actinopteri,Pleuronectiformes,Achiridae,Trinectes,fonsecensis,Trinectes fonsecensis,NA,NA
Fis-25037,Actinopteri,Pleuronectiformes,Achiridae,Trinectes,maculatus,Trinectes maculatus,-79,-74
Fis-115342,Actinopteri,Pleuronectiformes,Achiridae,Gymnachirus,melas,Gymnachirus melas,-98,-73
Fis-28887,Actinopteri,Pleuronectiformes,Achiridae,Trinectes,fluviatilis,Trinectes fluviatilis,NA,NA
Fis-133769,Actinopteri,Pleuronectiformes,Achiropsettidae,Mancopsetta,maculata,Mancopsetta maculata,NA,NA
Fis-32200,Actinopteri,Pleuronectiformes,Achiropsettidae,Achiropsetta,tricholepis,Achiropsetta tricholepis,-180,180
Fis-32203,Actinopteri,Pleuronectiformes,Achiropsettidae,Pseudomancopsetta,andriashevi,Pseudomancopsetta andriashevi,NA,NA
Fis-58742,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus,Acipenser oxyrinchus,-102,-33
Fis-32981,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,sinensis,Acipenser sinensis,-97,132
Fis-29594,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,Acipenser transmontanus,-163,-107
Fis-29585,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,brevirostrum,Acipenser brevirostrum,-82,-65
Fis-29588,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,medirostris,Acipenser medirostris,-166,-114
Fis-33633,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,mikadoi,Acipenser mikadoi,125,145
Fis-29593,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,sturio,Acipenser sturio,-25,42
Fis-24054,Actinopteri,Acipenseriformes,Acipenseridae,Huso,huso,Huso huso,17,60
Fis-58741,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,gueldenstaedtii,Acipenser gueldenstaedtii,26,54
Fis-29590,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,nudiventris,Acipenser nudiventris,14,53
Fis-29592,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,stellatus,Acipenser stellatus,22,54
Fis-29589,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,naccarii,Acipenser naccarii,10,20
Fis-33943,Actinopteri,Perciformes,Acropomatidae,Malakichthys,elegans,Malakichthys elegans,99,155
Fis-31221,Actinopteri,Perciformes,Acropomatidae,Synagrops,microlepis,Synagrops microlepis,-19,15
Fis-22961,Actinopteri,Perciformes,Acropomatidae,Synagrops,japonicus,Synagrops japonicus,19,-154
Fis-25016,Actinopteri,Perciformes,Acropomatidae,Synagrops,bellus,Synagrops bellus,-93,14
Fis-47983,Actinopteri,Perciformes,Acropomatidae,Acropoma,japonicum,Acropoma japonicum,21,-154
Fis-64776,Actinopteri,Perciformes,Acropomatidae,Synagrops,spinosus,Synagrops spinosus,-97,-32
Fis-27776,Actinopteri,Perciformes,Acropomatidae,Synagrops,philippinensis,Synagrops philippinensis,34,169
Fis-22176,Actinopteri,Perciformes,Acropomatidae,Synagrops,trispinosus,Synagrops trispinosus,NA,NA
Fis-35821,Actinopteri,Perciformes,Acropomatidae,Apogonops,anomalus,Apogonops anomalus,113,155
Fis-25209,Actinopteri,Perciformes,Acropomatidae,Doederleinia,berycoides,Doederleinia berycoides,115,-177
Fis-25042,Actinopteri,Scorpaeniformes,Agonidae,Xeneretmus,triacanthus,Xeneretmus triacanthus,-135,-105
Fis-25041,Actinopteri,Scorpaeniformes,Agonidae,Xeneretmus,latifrons,Xeneretmus latifrons,-127,-116
Fis-28693,Actinopteri,Scorpaeniformes,Agonidae,Agonopsis,chiloensis,Agonopsis chiloensis,-83,-53
Fis-24458,Actinopteri,Scorpaeniformes,Agonidae,Bathyagonus,pentacanthus,Bathyagonus pentacanthus,-165,-115
Fis-30850,Actinopteri,Scorpaeniformes,Agonidae,Odontopyxis,trispinosa,Odontopyxis trispinosa,-172,-117
Fis-30759,Actinopteri,Scorpaeniformes,Agonidae,Agonomalus,mozinoi,Agonomalus mozinoi,NA,NA
Fis-30773,Actinopteri,Scorpaeniformes,Agonidae,Bathyagonus,nigripinnis,Bathyagonus nigripinnis,157,-120
Fis-24468,Actinopteri,Scorpaeniformes,Agonidae,Bothragonus,swanii,Bothragonus swanii,-155,-121
Fis-24404,Actinopteri,Scorpaeniformes,Agonidae,Agonopsis,vulsa,Agonopsis vulsa,-178,-120
Fis-24457,Actinopteri,Scorpaeniformes,Agonidae,Bathyagonus,infraspinatus,Bathyagonus infraspinatus,-175,-121
Fis-24456,Actinopteri,Scorpaeniformes,Agonidae,Bathyagonus,alascanus,Bathyagonus alascanus,-178,-120
Fis-24441,Actinopteri,Scorpaeniformes,Agonidae,Aspidophoroides,monopterygius,Aspidophoroides monopterygius,-162,-43
Fis-22710,Actinopteri,Scorpaeniformes,Agonidae,Agonus,cataphractus,Agonus cataphractus,-42,36
Fis-24406,Actinopteri,Scorpaeniformes,Agonidae,Leptagonus,decagonus,Leptagonus decagonus,-117,36
Fis-24693,Actinopteri,Scorpaeniformes,Agonidae,Hypsagonus,quadricornis,Hypsagonus quadricornis,171,-121
Fis-24940,Actinopteri,Scorpaeniformes,Agonidae,Sarritor,frenatus,Sarritor frenatus,15,-132
Fis-24821,Actinopteri,Scorpaeniformes,Agonidae,Occella,dodecaedron,Occella dodecaedron,140,-138
Fis-30771,Actinopteri,Scorpaeniformes,Agonidae,Aspidophoroides,olrikii,Aspidophoroides olrikii,NA,NA
Fis-25004,Actinopteri,Scorpaeniformes,Agonidae,Stellerina,xyosterna,Stellerina xyosterna,NA,NA
Fis-29601,Actinopteri,Aulopiformes,Alepisauridae,Alepisaurus,brevirostris,Alepisaurus brevirostris,-180,180
Fis-29263,Actinopteri,Aulopiformes,Alepisauridae,Alepisaurus,ferox,Alepisaurus ferox,-180,180
Fis-34410,Actinopteri,Osmeriformes,Alepocephalidae,Rouleina,maderensis,Rouleina maderensis,-171,61
Fis-25437,Actinopteri,Osmeriformes,Alepocephalidae,Xenodermichthys,copei,Xenodermichthys copei,-90,180
Fis-34201,Actinopteri,Osmeriformes,Alepocephalidae,Mirognathus,normani,Mirognathus normani,NA,NA
Fis-25435,Actinopteri,Osmeriformes,Alepocephalidae,Talismania,longifilis,Talismania longifilis,136,-169
Fis-50026,Actinopteri,Osmeriformes,Alepocephalidae,Rouleina,squamilatera,Rouleina squamilatera,3,146
Fis-34027,Actinopteri,Osmeriformes,Alepocephalidae,Bathylaco,nigricans,Bathylaco nigricans,-69,93
Fis-52331,Actinopteri,Osmeriformes,Alepocephalidae,Rouleina,guentheri,Rouleina guentheri,-1,-177
Fis-26352,Actinopteri,Osmeriformes,Alepocephalidae,Rouleina,attrita,Rouleina attrita,-180,180
Fis-27598,Actinopteri,Osmeriformes,Alepocephalidae,Bajacalifornia,megalops,Bajacalifornia megalops,151,-10
Fis-28101,Actinopteri,Osmeriformes,Alepocephalidae,Talismania,antillarum,Talismania antillarum,-180,180
Fis-34206,Actinopteri,Osmeriformes,Alepocephalidae,Photostylus,pycnopterus,Photostylus pycnopterus,-180,180
Fis-48141,Actinopteri,Osmeriformes,Alepocephalidae,Narcetes,lloydi,Narcetes lloydi,-1,137
Fis-49681,Actinopteri,Osmeriformes,Alepocephalidae,Bathytroctes,oligolepis,Bathytroctes oligolepis,-86,-9
Fis-26351,Actinopteri,Osmeriformes,Alepocephalidae,Narcetes,stomias,Narcetes stomias,166,-2
Fis-34030,Actinopteri,Osmeriformes,Alepocephalidae,Bathyprion,danae,Bathyprion danae,NA,NA
Fis-126092,Actinopteri,Osmeriformes,Alepocephalidae,Conocara,macropterum,Conocara macropterum,-98,-1
Fis-33234,Actinopteri,Osmeriformes,Alepocephalidae,Asquamiceps,caeruleus,Asquamiceps caeruleus,NA,NA
Fis-27984,Actinopteri,Osmeriformes,Alepocephalidae,Herwigia,kreffti,Herwigia kreffti,NA,NA
Fis-34147,Actinopteri,Osmeriformes,Alepocephalidae,Bathytroctes,microlepis,Bathytroctes microlepis,-91,95
Fis-14212,Actinopteri,Osmeriformes,Alepocephalidae,Bathytroctes,michaelsarsi,Bathytroctes michaelsarsi,NA,NA
Fis-27691,Actinopteri,Osmeriformes,Alepocephalidae,Talismania,homoptera,Talismania homoptera,-94,15
Fis-138460,Actinopteri,Osmeriformes,Alepocephalidae,Bathytroctes,macrolepis,Bathytroctes macrolepis,-180,180
Fis-126093,Actinopteri,Osmeriformes,Alepocephalidae,Conocara,salmoneum,Conocara salmoneum,-175,-1
Fis-27941,Actinopteri,Osmeriformes,Alepocephalidae,Einara,edentula,Einara edentula,-180,180
Fis-28095,Actinopteri,Osmeriformes,Alepocephalidae,Rinoctes,nasutus,Rinoctes nasutus,-93,-12
Fis-34440,Actinopteri,Osmeriformes,Alepocephalidae,Talismania,mekistonema,Talismania mekistonema,-18,-11
Fis-27931,Actinopteri,Osmeriformes,Alepocephalidae,Conocara,murrayi,Conocara murrayi,-66,45
Fis-27977,Actinopteri,Osmeriformes,Alepocephalidae,Einara,macrolepis,Einara macrolepis,NA,NA
Fis-33232,Actinopteri,Osmeriformes,Alepocephalidae,Alepocephalus,australis,Alepocephalus australis,-180,180
Fis-33746,Actinopteri,Osmeriformes,Alepocephalidae,Alepocephalus,productus,Alepocephalus productus,-180,180
Fis-55811,Actinopteri,Osmeriformes,Alepocephalidae,Talismania,bifurcata,Talismania bifurcata,150,-75
Fis-34199,Actinopteri,Osmeriformes,Alepocephalidae,Leptoderma,macrops,Leptoderma macrops,-98,17
Fis-31228,Actinopteri,Osmeriformes,Alepocephalidae,Alepocephalus,rostratus,Alepocephalus rostratus,-22,22
Fis-33231,Actinopteri,Osmeriformes,Alepocephalidae,Alepocephalus,agassizii,Alepocephalus agassizii,-72,-5
Fis-29264,Actinopteri,Osmeriformes,Alepocephalidae,Alepocephalus,bairdii,Alepocephalus bairdii,-78,0
Fis-52319,Actinopteri,Osmeriformes,Alepocephalidae,Alepocephalus,triangularis,Alepocephalus triangularis,121,134
Fis-23899,Elasmobranchii,Lamniformes,Alopiidae,Alopias,vulpinus,Alopias vulpinus,-180,180
Fis-23898,Elasmobranchii,Lamniformes,Alopiidae,Alopias,superciliosus,Alopias superciliosus,-180,180
Fis-31568,Elasmobranchii,Lamniformes,Alopiidae,Alopias,pelagicus,Alopias pelagicus,19,-83
Fis-30981,Actinopteri,Scombriformes,Amarsipidae,Amarsipus,carlsbergi,Amarsipus carlsbergi,49,-142
Fis-32635,Actinopteri,Perciformes,Ambassidae,Ambassis,natalensis,Ambassis natalensis,19,52
Fis-35961,Actinopteri,Perciformes,Ambassidae,Ambassis,jacksoniensis,Ambassis jacksoniensis,146,155
Fis-33258,Actinopteri,Perciformes,Ambassidae,Ambassis,miops,Ambassis miops,75,-172
Fis-35964,Actinopteri,Perciformes,Ambassidae,Ambassis,vachellii,Ambassis vachellii,NA,NA
Fis-31253,Actinopteri,Perciformes,Ambassidae,Ambassis,interrupta,Ambassis interrupta,NA,NA
Fis-29267,Actinopteri,Perciformes,Ammodytidae,Ammodytes,marinus,Ammodytes marinus,-54,60
Fis-140325,Actinopteri,Perciformes,Ammodytidae,Ammodytoides,pylei,Ammodytoides pylei,-161,-151
Fis-29620,Actinopteri,Perciformes,Ammodytidae,Ammodytes,hexapterus,Ammodytes hexapterus,145,-21
Fis-26796,Actinopteri,Perciformes,Ammodytidae,Gymnammodytes,capensis,Gymnammodytes capensis,17,36
Fis-22762,Actinopteri,Perciformes,Ammodytidae,Gymnammodytes,semisquamatus,Gymnammodytes semisquamatus,-11,13
Fis-48438,Actinopteri,Perciformes,Ammodytidae,Bleekeria,mitsukurii,Bleekeria mitsukurii,116,140
Fis-23518,Actinopteri,Perciformes,Ammodytidae,Gymnammodytes,cicerelus,Gymnammodytes cicerelus,-18,42
Fis-29268,Actinopteri,Perciformes,Ammodytidae,Ammodytes,personatus,Ammodytes personatus,127,145
Fis-29618,Actinopteri,Perciformes,Ammodytidae,Ammodytes,americanus,Ammodytes americanus,-82,-3
Fis-29269,Actinopteri,Perciformes,Ammodytidae,Ammodytes,tobianus,Ammodytes tobianus,-23,42
Fis-29619,Actinopteri,Perciformes,Ammodytidae,Ammodytes,dubius,Ammodytes dubius,-127,6
Fis-23559,Actinopteri,Perciformes,Ammodytidae,Hyperoplus,lanceolatus,Hyperoplus lanceolatus,-25,36
Fis-23558,Actinopteri,Perciformes,Ammodytidae,Hyperoplus,immaculatus,Hyperoplus immaculatus,-11,9
Fis-170053,Elasmobranchii,Rajiformes,Anacanthobatidae,Indobatis,ori,Indobatis ori,NA,NA
Fis-63249,Elasmobranchii,Rajiformes,Anacanthobatidae,Anacanthobatis,americana,Anacanthobatis americana,-75,-51
Fis-126296,Elasmobranchii,Rajiformes,Anacanthobatidae,Anacanthobatis,folirostris,Anacanthobatis folirostris,-98,-81
Fis-29624,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,denticulatus,Anarhichas denticulatus,-65,61
Fis-29628,Actinopteri,Perciformes,Anarhichadidae,Anarrhichthys,ocellatus,Anarrhichthys ocellatus,118,-111
Fis-29625,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,lupus,Anarhichas lupus,-75,56
Fis-29627,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,orientalis,Anarhichas orientalis,135,-60
Fis-29626,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,minor,Anarhichas minor,-71,59
Fis-29273,Actinopteri,Anguilliformes,Anguillidae,Anguilla,australis,Anguilla australis,140,168
Fis-12876,Actinopteri,Anguilliformes,Anguillidae,Anguilla,bengalensis,Anguilla bengalensis,NA,NA
Fis-34886,Actinopteri,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,Anguilla dieffenbachii,NA,NA
Fis-32395,Actinopteri,Anguilliformes,Anguillidae,Anguilla,reinhardtii,Anguilla reinhardtii,141,161
Fis-23366,Actinopteri,Anguilliformes,Anguillidae,Anguilla,mossambica,Anguilla mossambica,NA,NA
Fis-29637,Actinopteri,Anguilliformes,Anguillidae,Anguilla,marmorata,Anguilla marmorata,NA,NA
Fis-32394,Actinopteri,Anguilliformes,Anguillidae,Anguilla,obscura,Anguilla obscura,NA,NA
Fis-8951,Actinopteri,Anguilliformes,Anguillidae,Anguilla,bicolor,Anguilla bicolor,NA,NA
Fis-35153,Actinopteri,Anguilliformes,Anguillidae,Anguilla,megastoma,Anguilla megastoma,NA,NA
Fis-34672,Actinopteri,Anguilliformes,Anguillidae,Anguilla,celebesensis,Anguilla celebesensis,NA,NA
Fis-22845,Actinopteri,Anguilliformes,Anguillidae,Anguilla,rostrata,Anguilla rostrata,-98,-21
Fis-22711,Actinopteri,Anguilliformes,Anguillidae,Anguilla,anguilla,Anguilla anguilla,-82,45
Fis-29274,Actinopteri,Anguilliformes,Anguillidae,Anguilla,japonica,Anguilla japonica,105,170
Fis-23904,Actinopteri,Trachichthyiformes,Anoplogastridae,Anoplogaster,cornuta,Anoplogaster cornuta,-180,180
Fis-22996,Actinopteri,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,Anoplopoma fimbria,141,-109
Fis-24562,Actinopteri,Scorpaeniformes,Anoplopomatidae,Erilepis,zonifer,Erilepis zonifer,127,-121
Fis-29641,Actinopteri,Aulopiformes,Anotopteridae,Anotopterus,pharao,Anotopterus pharao,-69,-1
Fis-29052,Actinopteri,Lophiiformes,Antennariidae,Kuiterichthys,furcipilis,Kuiterichthys furcipilis,124,155
Fis-29053,Actinopteri,Lophiiformes,Antennariidae,Phyllophryne,scortea,Phyllophryne scortea,NA,NA
Fis-29049,Actinopteri,Lophiiformes,Antennariidae,Allenichthys,glauerti,Allenichthys glauerti,NA,NA
Fis-34445,Actinopteri,Lophiiformes,Antennariidae,Tathicarpus,butleri,Tathicarpus butleri,112,154
Fis-166685,Actinopteri,Lophiiformes,Antennariidae,Fowlerichthys,avalonis,Fowlerichthys avalonis,NA,NA
Fis-28056,Actinopteri,Lophiiformes,Antennariidae,Antennarius,biocellatus,Antennarius biocellatus,NA,NA
Fis-166687,Actinopteri,Lophiiformes,Antennariidae,Fowlerichthys,radiosus,Fowlerichthys radiosus,-91,-76
Fis-28890,Actinopteri,Lophiiformes,Antennariidae,Antennatus,strigatus,Antennatus strigatus,NA,NA
Fis-27252,Actinopteri,Ophidiiformes,Aphyonidae,Nybelinella,erikssoni,Nybelinella erikssoni,NA,NA
Fis-126895,Actinopteri,Scorpaeniformes,Aploactinidae,Aploactisoma,milesii,Aploactisoma milesii,112,155
Fis-35250,Actinopteri,Scorpaeniformes,Aploactinidae,Kanekonia,queenslandica,Kanekonia queenslandica,NA,NA
Fis-29210,Actinopteri,Perciformes,Apogonidae,Siphamia,cephalotes,Siphamia cephalotes,NA,NA
Fis-163610,Actinopteri,Perciformes,Apogonidae,Apogonichthyoides,brevicaudatus,Apogonichthyoides brevicaudatus,115,153
Fis-166918,Actinopteri,Perciformes,Apogonidae,Siphamia,randalli,Siphamia randalli,-159,-149
Fis-28570,Actinopteri,Perciformes,Apogonidae,Cheilodipterus,novemstriatus,Cheilodipterus novemstriatus,NA,NA
Fis-30935,Actinopteri,Perciformes,Apogonidae,Pseudamia,tarri,Pseudamia tarri,NA,NA
Fis-29668,Actinopteri,Osmeriformes,Argentinidae,Argentina,striata,Argentina striata,-56,-98
Fis-35699,Actinopteri,Osmeriformes,Argentinidae,Argentina,australiae,Argentina australiae,112,155
Fis-22846,Actinopteri,Osmeriformes,Argentinidae,Glossanodon,semifasciatus,Glossanodon semifasciatus,101,149
Fis-48132,Actinopteri,Osmeriformes,Argentinidae,Argentina,euchus,Argentina euchus,30,41
Fis-23510,Actinopteri,Osmeriformes,Argentinidae,Glossanodon,leioglossus,Glossanodon leioglossus,-18,17
Fis-29289,Actinopteri,Osmeriformes,Argentinidae,Argentina,sphyraena,Argentina sphyraena,-24,24
Fis-23914,Actinopteri,Osmeriformes,Argentinidae,Argentina,silus,Argentina silus,-69,31
Fis-29667,Actinopteri,Osmeriformes,Argentinidae,Argentina,sialis,Argentina sialis,NA,NA
Fis-35552,Actinopteri,Osmeriformes,Argentinidae,Argentina,aliceae,Argentina aliceae,NA,NA
Fis-61787,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,griseocauda,Bathyraja griseocauda,-80,-10
Fis-27351,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,richardsoni,Bathyraja richardsoni,NA,NA
Fis-54790,Elasmobranchii,Rajiformes,Arhynchobatidae,Pavoraja,alleni,Pavoraja alleni,NA,NA
Fis-55409,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,abyssicola,Bathyraja abyssicola,132,-94
Fis-24315,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,trachura,Bathyraja trachura,144,-106
Fis-24310,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,interrupta,Bathyraja interrupta,136,-117
Fis-15353,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,spinicauda,Bathyraja spinicauda,-70,50
Fis-131458,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,maculata,Bathyraja maculata,NA,NA
Fis-26346,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,eatonii,Bathyraja eatonii,-180,180
Fis-32092,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,maccaini,Bathyraja maccaini,NA,NA
Fis-32093,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,meridionalis,Bathyraja meridionalis,-180,180
Fis-125150,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,brachyurops,Bathyraja brachyurops,-74,-55
Fis-26347,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,murrayi,Bathyraja murrayi,63,79
Fis-127222,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,scaphiops,Bathyraja scaphiops,-60,-55
Fis-32091,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,irrasa,Bathyraja irrasa,60,80
Fis-54800,Elasmobranchii,Rajiformes,Arhynchobatidae,Pavoraja,nitida,Pavoraja nitida,NA,NA
Fis-131498,Elasmobranchii,Rajiformes,Arhynchobatidae,Sympterygia,bonapartii,Sympterygia bonapartii,NA,NA
Fis-131997,Elasmobranchii,Rajiformes,Arhynchobatidae,Psammobatis,lentiginosa,Psammobatis lentiginosa,-60,-40
Fis-63248,Elasmobranchii,Rajiformes,Arhynchobatidae,Atlantoraja,cyclophora,Atlantoraja cyclophora,-60,-40
Fis-131990,Elasmobranchii,Rajiformes,Arhynchobatidae,Atlantoraja,platana,Atlantoraja platana,-60,-40
Fis-132553,Elasmobranchii,Rajiformes,Arhynchobatidae,Atlantoraja,castelnaui,Atlantoraja castelnaui,-60,-40
Fis-131502,Elasmobranchii,Rajiformes,Arhynchobatidae,Sympterygia,acuta,Sympterygia acuta,-60,-40
Fis-131511,Elasmobranchii,Rajiformes,Arhynchobatidae,Sympterygia,brevicaudata,Sympterygia brevicaudata,NA,NA
Fis-54787,Elasmobranchii,Rajiformes,Arhynchobatidae,Irolita,waitii,Irolita waitii,NA,NA
Fis-146451,Actinopteri,Siluriformes,Ariidae,Aspistor,quadriscutis,Aspistor quadriscutis,-59,-34
Fis-27719,Actinopteri,Siluriformes,Ariidae,Netuma,thalassina,Netuma thalassina,39,154
Fis-23037,Actinopteri,Siluriformes,Ariidae,Bagre,marinus,Bagre marinus,-98,-34
Fis-29396,Actinopteri,Siluriformes,Ariidae,Galeichthys,feliceps,Galeichthys feliceps,NA,NA
Fis-939,Actinopteri,Siluriformes,Ariidae,Notarius,grandicassis,Notarius grandicassis,-77,-34
Fis-23072,Actinopteri,Siluriformes,Ariidae,Cathorops,spixii,Cathorops spixii,-77,-34
Fis-23036,Actinopteri,Siluriformes,Ariidae,Bagre,bagre,Bagre bagre,-77,-34
Fis-159775,Actinopteri,Siluriformes,Ariidae,Neoarius,graeffei,Neoarius graeffei,NA,NA
Fis-159777,Actinopteri,Siluriformes,Ariidae,Neoarius,leptaspis,Neoarius leptaspis,NA,NA
Fis-159842,Actinopteri,Siluriformes,Ariidae,Sciades,proops,Sciades proops,-77,-39
Fis-165324,Actinopteri,Siluriformes,Ariidae,Carlarius,heudelotii,Carlarius heudelotii,NA,NA
Fis-159767,Actinopteri,Siluriformes,Ariidae,Nemapteryx,caelata,Nemapteryx caelata,62,117
Fis-165019,Actinopteri,Siluriformes,Ariidae,Sciades,parkeri,Sciades parkeri,-60,-34
Fis-23379,Actinopteri,Siluriformes,Ariidae,Arius,maculatus,Arius maculatus,NA,NA
Fis-159835,Actinopteri,Siluriformes,Ariidae,Amphiarius,rugispinis,Amphiarius rugispinis,-59,-43
Fis-28893,Actinopteri,Siluriformes,Ariidae,Bagre,pinnimaculatus,Bagre pinnimaculatus,-114,-77
Fis-159662,Actinopteri,Siluriformes,Ariidae,Amphiarius,phrygiatus,Amphiarius phrygiatus,-72,-48
Fis-165022,Actinopteri,Siluriformes,Ariidae,Occidentarius,platypogon,Occidentarius platypogon,NA,NA
Fis-156316,Actinopteri,Siluriformes,Ariidae,Ariopsis,guatemalensis,Ariopsis guatemalensis,NA,NA
Fis-143064,Actinopteri,Siluriformes,Ariidae,Notarius,troschelii,Notarius troschelii,NA,NA
Fis-164094,Actinopteri,Scombriformes,Ariommatidae,Ariomma,luridum,Ariomma luridum,102,-154
Fis-21523,Actinopteri,Scombriformes,Ariommatidae,Ariomma,indicum,Ariomma indicum,NA,NA
Fis-24435,Actinopteri,Scombriformes,Ariommatidae,Ariomma,melanum,Ariomma melanum,NA,NA
Fis-29292,Actinopteri,Scombriformes,Ariommatidae,Ariomma,bondi,Ariomma bondi,-98,-34
Fis-23019,Actinopteri,Scombriformes,Ariommatidae,Ariomma,regulus,Ariomma regulus,-98,-50
Fis-139081,Actinopteri,Perciformes,Arripidae,Arripis,truttacea,Arripis truttacea,NA,NA
Fis-25431,Actinopteri,Perciformes,Arripidae,Arripis,trutta,Arripis trutta,112,179
Fis-22847,Actinopteri,Perciformes,Arripidae,Arripis,georgianus,Arripis georgianus,112,150
Fis-164117,Actinopteri,Perciformes,Artedidraconidae,Artedidraco,lonnbergi,Artedidraco lonnbergi,NA,NA
Fis-32167,Actinopteri,Perciformes,Artedidraconidae,Pogonophryne,lanceobarbata,Pogonophryne lanceobarbata,NA,NA
Fis-26396,Actinopteri,Perciformes,Artedidraconidae,Histiodraco,velifer,Histiodraco velifer,NA,NA
Fis-32161,Actinopteri,Perciformes,Artedidraconidae,Dolloidraco,longedorsalis,Dolloidraco longedorsalis,NA,NA
Fis-32171,Actinopteri,Perciformes,Artedidraconidae,Pogonophryne,permitini,Pogonophryne permitini,NA,NA
Fis-32174,Actinopteri,Perciformes,Artedidraconidae,Pogonophryne,scotti,Pogonophryne scotti,NA,NA
Fis-32176,Actinopteri,Perciformes,Artedidraconidae,Pogonophryne,ventrimaculata,Pogonophryne ventrimaculata,NA,NA
Fis-32162,Actinopteri,Perciformes,Artedidraconidae,Pogonophryne,barsukovi,Pogonophryne barsukovi,NA,NA
Fis-32159,Actinopteri,Perciformes,Artedidraconidae,Artedidraco,shackletoni,Artedidraco shackletoni,NA,NA
Fis-32160,Actinopteri,Perciformes,Artedidraconidae,Artedidraco,skottsbergi,Artedidraco skottsbergi,NA,NA
Fis-32169,Actinopteri,Perciformes,Artedidraconidae,Pogonophryne,marmorata,Pogonophryne marmorata,NA,NA
Fis-32158,Actinopteri,Perciformes,Artedidraconidae,Artedidraco,orianae,Artedidraco orianae,NA,NA
Fis-32157,Actinopteri,Perciformes,Artedidraconidae,Artedidraco,mirus,Artedidraco mirus,NA,NA
Fis-32657,Actinopteri,Ateleopodiformes,Ateleopodidae,Ijimaia,loppei,Ijimaia loppei,NA,NA
Fis-13152,Actinopteri,Ateleopodiformes,Ateleopodidae,Guentherus,altivela,Guentherus altivela,-92,19
Fis-127026,Actinopteri,Atheriniformes,Atherinidae,Atherinason,hepsetoides,Atherinason hepsetoides,NA,NA
Fis-126999,Actinopteri,Atheriniformes,Atherinidae,Atherinosoma,microstoma,Atherinosoma microstoma,NA,NA
Fis-130041,Actinopteri,Atheriniformes,Atherinidae,Kestratherina,esox,Kestratherina esox,NA,NA
Fis-128779,Actinopteri,Atheriniformes,Atherinidae,Leptatherina,presbyteroides,Leptatherina presbyteroides,NA,NA
Fis-126995,Actinopteri,Atheriniformes,Atherinidae,Atherinosoma,elongata,Atherinosoma elongata,NA,NA
Fis-29685,Actinopteri,Atheriniformes,Atherinidae,Atherina,breviceps,Atherina breviceps,NA,NA
Fis-47096,Actinopteri,Atheriniformes,Atherinidae,Craterocephalus,mugiloides,Craterocephalus mugiloides,NA,NA
Fis-29236,Actinopteri,Atheriniformes,Atherinidae,Atherinomorus,insularum,Atherinomorus insularum,114,-152
Fis-29300,Actinopteri,Atheriniformes,Atherinidae,Atherina,presbyter,Atherina presbyter,-26,17
